match_id,team1,score1,balls_faced1,extra_runs1,wickets1,team2,score2,balls_faced2,extra_runs2,wickets2,win_team
1,5,370,300,20,4,2,283,300,24,9,5
2,7,69,143,10,10,9,72,48,7,0,9
3,12,332,300,12,7,3,122,221,13,10,12
4,1,262,300,14,6,14,171,278,18,10,1
5,8,292,300,11,6,4,296,292,14,4,4
6,10,317,300,46,7,7,112,199,11,10,10
7,13,222,285,15,10,11,223,257,11,3,11
8,9,206,271,24,10,1,207,204,32,3,1
9,2,205,296,11,10,6,178,270,13,10,2
10,10,277,300,9,7,12,266,300,29,9,10
11,5,338,299,15,10,4,338,300,11,8,10
12,14,298,300,4,9,3,123,253,9,10,14
13,13,330,300,21,8,8,115,189,2,10,13
14,7,142,262,19,10,12,146,112,8,1,12
15,4,327,300,23,8,6,329,295,33,7,6
16,11,351,300,24,5,8,120,209,8,10,11
17,10,184,258,24,10,3,138,257,23,10,10
18,14,162,278,7,10,9,166,201,4,0,9
19,2,58,113,2,10,13,59,74,7,1,13
21,4,171,274,20,10,11,165,286,6,10,4
22,6,207,287,18,10,5,210,276,9,5,5
23,7,198,300,14,10,3,199,273,13,5,3
24,9,302,300,24,7,10,192,250,10,10,9
25,8,189,280,12,10,5,191,219,4,5,5
26,12,327,300,15,6,14,188,234,16,10,12
27,13,275,300,12,10,6,231,294,8,10,13
28,4,225,298,10,10,2,227,294,33,8,2
29,5,296,292,15,10,11,300,298,8,7,11
30,9,358,300,18,6,3,261,300,17,9,9
31,1,324,300,24,6,7,264,300,23,6,1
32,8,160,278,9,10,2,166,248,9,4,2
33,14,151,238,5,7,10,164,205,13,3,10
34,11,272,300,9,7,6,141,200,4,10,11
35,3,211,274,16,10,1,212,209,3,3,1
36,4,243,292,22,10,13,225,268,11,10,4
37,8,306,300,17,10,6,307,286,11,4,6
38,12,265,300,19,9,9,153,210,11,10,12
39,11,284,300,7,8,2,78,168,8,10,11
40,1,176,280,15,10,10,178,246,7,6,10
41,14,308,300,19,6,7,147,216,7,10,14
42,5,268,295,16,10,13,188,258,14,10,5
43,13,112,261,11,10,10,113,125,5,0,10
44,1,260,300,11,6,5,261,286,21,5,5
45,9,221,300,14,8,11,172,260,3,10,9
46,4,229,300,9,6,12,231,237,21,0,12
47,9,217,293,12,10,12,220,287,12,5,12
48,5,260,300,18,9,10,231,299,8,10,5
49,12,274,300,12,6,5,277,290,15,4,5
