"match_id","match_vec","cluster_label","win_label"
"1","[370, 300, 20, 4, 283, 300, 24, 9, 134.10867773230677, 71.45483185351047, 72.831337129492923, 59.183340576197871, -141.1952912406945, 69.96751299422607, 68.853358775374105, -46.850511183393905, -10.539086434442154, -114.2686032503958, -47.838526314048146, 53.254711708587124, 50.641407737313173, 25.425942343464801, 7.2606831854194773, 16.800123428755718, 22.338422522671323, -33.996150948812577, -36.550002311687479, -39.367888117948205, -27.940152731764414, -42.257567220623777]","0","1"
"2","[69, 143, 10, 10, 72, 48, 7, 0, 14.054424529038993, -0.24024174533595, -0.71254607014277294, -113.53550810707961, -5.5484935596148945, 13.288787329382314, -51.469468533589364, -10.635127762895479, -11.392456010736318, -28.608486970860536, -59.269980726310543, 60.435776735419012, 77.766927528847233, -21.059360446399442, 100.28468850750757, -36.101700058177649, 8.3035474915857446, -21.182225065762726, 3.0692037919133317, 14.232235605309128, -17.898203347575166, -50.487917924612134]","1","0"
"19","[58, 113, 2, 10, 59, 74, 7, 1, 53.254711708587124, 50.641407737313173, 25.425942343464801, 16.800123428755718, 7.2606831854194773, 22.338422522671323, -31.950779369913189, -36.550002311687479, -27.940152731764414, -39.367888117948205, -42.257567220623777, 70.789381196832394, 37.548674311309227, 35.951788972416082, 29.015103899762689, 26.886934032615486, 9.4411881210793354, 2.0941112365406807, 10.078933740292237, -38.596292039301524, -27.918781373292912, -21.484455036711118]","1","1"
"3","[332, 300, 12, 7, 122, 221, 13, 10, 97.574504381381217, 90.155959322646055, 95.342240244692746, 83.998353243551165, 16.708081194167459, 12.693655915989449, -13.254328761433509, 21.48577247804527, -6.7302102360547984, 19.136818786401836, -55.187579335738, 4.4311383426469044, -27.30097468459546, 13.02227656976792, -21.570938292165337, 60.254590526953152, -2.5433381633410237, -7.5663141778350491, -66.854388170055273, -11.325179412243193, -34.983019909679719, -41.838073928769084]","2","1"
"4","[262, 300, 14, 6, 171, 278, 18, 10, 11.478558265439217, 70.322637280550254, 68.951352672138441, 40.431497250735539, 12.138808325708636, 45.41243820840149, 70.789381196832394, 6.7307115866278115, -70.450741112669192, -21.569660517286405, -53.519228294656337, 100.28468850750757, -0.084704139423613878, 66.887558852896959, 64.982710958840968, -24.525905350403331, -19.33378763922483, 11.656439930031071, -15.929623912765937, -10.572458325936852, -18.10734755716053, -37.260714103799955]","2","1"
"7","[222, 285, 15, 10, 223, 257, 11, 3, 37.548674311309227, 70.789381196832394, 35.951788972416082, 29.015103899762689, 26.886934032615486, 35.951788972416082, 2.0941112365406807, 9.4411881210793354, 10.078933740292237, -27.918781373292912, -21.484455036711118, 82.82671133158388, 28.038870579670927, 19.494487575794786, 117.02410354173399, 32.148276094205762, 4.0024567466741425, -23.105571461398018, 15.202641557145443, -42.662703348669702, -9.9290494423721416, -22.653545935928566]","2","0"
"8","[206, 271, 24, 10, 207, 204, 32, 3, 60.435776735419012, 77.766927528847233, -21.059360446399442, 100.28468850750757, -36.101700058177649, 8.3035474915857446, 0.5237286547637372, 3.0692037919133317, -21.182225065762726, -17.898203347575166, -50.487917924612134, 11.478558265439217, 70.322637280550254, 68.951352672138441, 40.431497250735539, 12.138808325708636, 45.41243820840149, 70.789381196832394, 6.7307115866278115, -70.450741112669192, -21.569660517286405, -53.519228294656337]","2","0"
"9","[205, 296, 11, 10, 178, 270, 13, 10, 53.254711708587124, 50.641407737313173, 25.425942343464801, 16.800123428755718, 7.2606831854194773, 22.338422522671323, -31.950779369913189, -36.550002311687479, -27.940152731764414, -39.367888117948205, -42.257567220623777, 49.330194225751725, 26.960644193050005, 53.984103711744808, 45.156650612012484, -30.698464981390078, 70.547867927614803, -17.526820417550461, -6.1467719454244909, -10.282041664928714, -16.907542830542177, -111.02905810057545]","2","1"
"10","[277, 300, 9, 7, 266, 300, 29, 9, -0.17133994328019098, 15.847561875563899, 42.069398324999483, 48.407833241802749, 61.689122176355269, 59.988032428172716, 16.688825407523858, 9.6581900197255131, 24.284747376969584, -80.921841713146122, -70.472142847683372, 97.574504381381217, 90.155959322646055, 95.342240244692746, 83.998353243551165, 21.48577247804527, 22.032903317924639, 12.693655915989449, 16.708081194167459, -6.7302102360547984, -57.48134702020478, 19.136818786401836]","2","1"
"12","[298, 300, 4, 9, 123, 253, 9, 10, 100.28468850750757, -0.084704139423613878, 66.887558852896959, 64.982710958840968, -24.525905350403331, -19.33378763922483, -30.93229177601048, -15.929623912765937, -10.572458325936852, -18.10734755716053, -37.260714103799955, -27.30097468459546, -14.643432352254056, 4.4311383426469044, 60.254590526953152, -21.570938292165337, -2.5433381633410237, 13.02227656976792, -7.5663141778350491, -66.854388170055273, -11.325179412243193, -34.983019909679719]","2","1"
