player_id,NumOfInningsBatted,NotOutInnings,runs_scored,balls_faced,Bat_AVG,Bat_SR,MRA,BRPI,HS,NumOfIngsBowled,balls_bowled,runs_conceded,WCKTS,BW_AVG,BW_SR,BW_ECN,MDO
,,,,,,,,,,,,,,,,,
705,3,0,43,65,14.333,0.661,0,9.333,23,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1104,5,1,353,326,88.25,1.083,0.6,33.2,134,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
301,6,1,225,322,45,0.699,0.333,18,84,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
602,2,0,22,43,11,0.512,0,4,22,2,114,88,4,22,28.5,4.632,1
,,,,,,,,,,,,,,,,,
1216,5,2,94,90,31.333,1.044,0,9.2,41,6,216,171,6,28.5,36,4.75,0
,,,,,,,,,,,,,,,,,
1312,3,0,52,58,17.333,0.897,0,8.667,49,3,163,132,7,18.857,23.286,4.859,3
,,,,,,,,,,,,,,,,,
805,2,0,26,32,13,0.812,0,8,26,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
907,1,0,0,2,0,0,0,0,0,1,59,37,1,37,59,3.763,1
,,,,,,,,,,,,,,,,,
401,7,0,334,357,47.714,0.936,0.286,22,158,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
808,6,0,81,126,13.5,0.643,0,6.667,18,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
509,2,0,1,5,0.5,0.2,0,0,1,3,142,120,3,40,47.333,5.07,1
,,,,,,,,,,,,,,,,,
603,4,0,80,104,20,0.769,0,8.5,47,5,110,108,0,108,110,5.891,1
,,,,,,,,,,,,,,,,,
614,2,0,15,37,7.5,0.405,0,2,10,1,30,23,0,23,30,4.6,0
,,,,,,,,,,,,,,,,,
1210,1,1,0,2,0,0,0,0,0,5,256,134,7,19.143,36.571,3.141,5
,,,,,,,,,,,,,,,,,
1003,6,2,104,125,26,0.832,0.167,8.667,62,8,222,161,5,32.2,44.4,4.351,6
,,,,,,,,,,,,,,,,,
203,5,1,15,34,3.75,0.441,0,0,11,6,288,220,7,31.429,41.143,4.583,5
,,,,,,,,,,,,,,,,,
1004,2,1,6,13,6,0.462,0,0,5,5,270,199,3,66.333,90,4.422,3
,,,,,,,,,,,,,,,,,
802,2,0,0,5,0,0,0,0,0,2,90,75,0,75,90,5,1
,,,,,,,,,,,,,,,,,
1005,5,0,44,91,8.8,0.483,0,5.6,13,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
418,2,1,7,5,7,1.4,0,3,6,2,108,96,3,32,36,5.333,0
,,,,,,,,,,,,,,,,,
1006,3,1,154,217,77,0.71,0.333,18.667,78,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
814,2,0,0,3,0,0,0,0,0,3,138,173,1,173,138,7.522,0
,,,,,,,,,,,,,,,,,
905,8,2,256,277,42.667,0.924,0.25,18.5,101,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
104,6,0,332,421,55.333,0.789,0.667,31.667,88,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
110,1,0,5,8,5,0.625,0,4,5,7,326,235,13,18.077,25.077,4.325,6
,,,,,,,,,,,,,,,,,
809,1,0,8,12,8,0.667,0,4,8,1,21,23,0,23,21,6.571,0
,,,,,,,,,,,,,,,,,
810,3,1,6,8,3,0.75,0,2,6,4,166,207,2,103.5,83,7.482,0
,,,,,,,,,,,,,,,,,
1414,6,0,170,195,28.333,0.872,0.167,14.333,80,1,18,23,0,23,18,7.667,0
,,,,,,,,,,,,,,,,,
611,4,3,9,25,9,0.36,0,0,5,6,330,315,3,105,110,5.727,2
,,,,,,,,,,,,,,,,,
815,4,0,17,46,4.25,0.37,0,2.5,15,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
304,5,0,22,41,4.4,0.537,0,1.6,9,6,324,299,9,33.222,36,5.537,0
,,,,,,,,,,,,,,,,,
1108,1,0,46,43,46,1.07,0,28,46,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1409,3,1,6,21,3,0.286,0,0,3,4,162,159,7,22.714,23.143,5.889,1
,,,,,,,,,,,,,,,,,
1406,6,0,231,269,38.5,0.859,0.5,19,85,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1307,5,1,170,179,42.5,0.95,0.2,22,80,1,36,26,0,26,36,4.333,0
,,,,,,,,,,,,,,,,,
1403,3,0,18,36,6,0.5,0,3.333,14,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1207,2,0,3,8,1.5,0.375,0,0,2,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
115,6,2,70,113,17.5,0.62,0,2.667,22,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
706,6,1,243,347,48.6,0.7,0.333,21,98,5,70,80,1,80,70,6.857,0
,,,,,,,,,,,,,,,,,
1214,4,0,77,110,19.25,0.7,0.25,8,57,1,18,12,0,12,18,4,0
,,,,,,,,,,,,,,,,,
413,1,0,3,7,3,0.429,0,0,3,2,75,85,0,85,75,6.8,0
,,,,,,,,,,,,,,,,,
1303,3,2,6,15,6,0.4,0,1.333,6,3,150,106,4,26.5,37.5,4.24,1
,,,,,,,,,,,,,,,,,
1315,6,0,41,76,6.833,0.539,0,2,15,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
